,Type strain,name,Submission Date,Submitting Organization,Geographic Location,Isolation Source,Organism,Species,Pathovar,Strain,Assembly name (Alt. strain),Taxonomy check,antA,AvrB2,AvrE1,dhoB,HopAB1,HopAF1,HopAH1,HopAS1,HopAT1,HopAU1,HopAW1,HopB4,HopBH1,HopZ1,HopD1,HopF3,HopG1,HopI1,HopK1,HopQ1,HopR1,HopW1,HopX1,HrpF,HrpG,HrpL,HrpR,HrpS,HrpT,HrpV,HrpZ,ipoB,ipoC,SctC,SctD,SctE,SctF2,SctI,SctJ,SctK,SctL,SctN,SctO,SctP,SctQa,SctQb,SctR,SctS,SctT,SctU,SctV,SctW,antB,antC,catA,catB,catC,dhoA,HopB2,ipoA,Rbp3,Rbp2,HopBK1,HopBL1,HopA1,HopAR1,HopAZ1,HopV1,HopZ2,AvrPto1,AvrRpm1,HopAG1,HopAI1,HopAM1,HopBN1,HopBP1,HopH1,HopD2,HopF1,HopF4,HopM1,HopN1,HopS2,HopY1,HopZ5,HrpZ,SctF,HopAT2,HopAA1,HopBF1,HopBI1,HopC1,HopE1,HopAD1,HopAQ1,HopBD1,HopBM1,HopL1,HopO1,HopO2,HopT1,HopU1,HopAL1,HopBC1,HopAX1,HopBA1,Rbp1,AvrA1,AvrRpt2,HopB1,HopBO1,HopBE1,AvrB1,HopH2,HopBG1,HopBQ1,HopZ4,HopB3,HopAT3,HopBJ1
0,FALSE,GCF_000012205.1,8/1/05,Cornell University,missing,missing,Pseudomonas savastanoi pv. phaseolicola 1448A (g-proteobacteria),savastanoi,phaseolicola,1448A;-BAA-978,ASM1220v1,OK,1,3,1,10,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,14,7,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FALSE,GCF_000012245.1,5/12/05,DOE Joint Genome Institute,missing,missing,Pseudomonas syringae pv. syringae B728a (g-proteobacteria),syringae,syringae,B728a,ASM1224v1,Inconclusive,1,1,1,9,1,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,1,1,1,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FALSE,GCF_000145825.2,5/3/21,University of North Carolina at Chapel Hill,missing,missing,Pseudomonas syringae Cit 7 (g-proteobacteria),syringae,missing,Cit-7,ASM14582v2,Inconclusive,1,0,1,12,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,1,13,7,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FALSE,GCF_000145845.2,1/13/20,University of North Carolina at Chapel Hill,missing,missing,Pseudomonas syringae pv. maculicola str. ES4326 (g-proteobacteria),syringae,maculicola,ES4326,ASM14584v2,Inconclusive,1,0,1,11,1,1,0,0,0,0,0,1,0,2,2,0,0,1,0,1,1,4,1,1,1,1,15,6,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,0,1,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
4,FALSE,GCF_000145945.2,8/15/19,University of North Carolina at Chapel Hill,missing,missing,Pseudomonas amygdali pv. tabaci str. ATCC 11528 (g-proteobacteria),amygdali,tabaci,ATCC-11528,ASM14594v2,OK,1,0,1,11,1,0,2,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2,1,1,1,1,14,7,1,1,0,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FALSE,GCF_000146005.2,7/31/18,University of North Carolina at Chapel Hill,missing,missing,Pseudomonas amygdali pv. lachrymans str. M301315 (g-proteobacteria),amygdali,lachrymans,M301315,ASM14600v2,OK,1,0,1,10,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,1,15,7,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
6,FALSE,GCF_000156995.2,11/20/19,University of North Carolina at Chapel Hill,missing,missing,Pseudomonas coronafaciens pv. oryzae str. 1_6 (g-proteobacteria),coronafaciens,oryzae,1_6,ASM15699v2,Inconclusive,1,1,2,10,1,1,2,1,0,0,0,1,2,0,2,0,1,0,0,1,1,1,1,1,1,1,14,6,1,1,0,1,1,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
7,FALSE,GCF_000172895.1,11/21/08,The Sainsbury Laboratory,missing,missing,Pseudomonas syringae pv. tomato T1 (g-proteobacteria),syringae,tomato,T1,ASM17289v1,OK,2,0,1,12,1,1,3,1,1,0,1,2,0,0,1,0,0,1,0,1,1,2,0,1,1,1,15,6,1,1,0,1,1,1,1,1,0,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,3,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8,FALSE,GCF_000177475.1,1/25/10,Virginia Tech,France,missing,Pseudomonas syringae pv. tomato Max13 (g-proteobacteria),syringae,tomato,Max13,ASM17747v1,OK,2,0,1,12,1,1,2,1,1,0,1,2,0,0,1,0,0,2,1,0,1,2,0,1,1,1,15,6,1,1,0,1,1,1,1,1,0,1,1,1,1,3,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,3,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,FALSE,GCF_000177495.1,2/4/10,Virginia Tech,United Kingdom: Isle of Jersey,missing,Pseudomonas syringae pv. tomato NCPPB 1108 (g-proteobacteria),syringae,tomato,NCPPB-1108,ASM17749v1,OK,2,0,1,12,1,1,3,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,0,1,1,1,15,6,1,1,0,1,1,1,1,1,0,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,2,0,0,0,0,0,1,3,2,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
10,FALSE,GCF_000177515.1,2/4/10,Virginia Tech,"USA: Blacksburg, VA",unidentified weed in early spring 2007 on the Virginia Tech campus,Pseudomonas syringae pv. syringae 642 (g-proteobacteria),syringae,syringae,642,ASM17751v1,Inconclusive,1,0,1,12,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,6,1,1,0,1,1,1,1,0,0,0,1,1,1,4,0,0,0,1,2,1,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,FALSE,GCF_000187045.1,1/28/11,University of Illinois at Urbana & Champaign,missing,missing,Pseudomonas savastanoi pv. glycinea str. B076 (g-proteobacteria),savastanoi,glycinea,B076,ASM18704v2,OK,1,1,1,10,1,1,0,1,3,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,14,6,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,FALSE,GCF_000187065.1,1/28/11,University of Illinois at Urbana & Champaign,missing,missing,Pseudomonas savastanoi pv. glycinea str. race 4 (g-proteobacteria),savastanoi,glycinea,race-4,ASM18706v2,OK,1,1,1,11,1,0,0,1,3,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,13,7,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,FALSE,GCF_000233795.1,11/3/11,Università di Udine,missing,missing,Pseudomonas syringae pv. actinidiae str. NCPPB 3871 (g-proteobacteria),syringae,actinidiae,NCPPB-3871,ASM23379v2,OK,1,1,1,11,1,0,3,1,1,1,0,2,1,0,2,0,0,1,0,1,1,2,1,1,1,1,14,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,FALSE,GCF_000233815.1,11/3/11,Università di Udine,missing,missing,Pseudomonas syringae pv. actinidiae str. CRAFRU8.43 (g-proteobacteria),syringae,actinidiae,CRAFRU8.43,ASM23381v2,OK,2,1,1,11,1,1,3,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,FALSE,GCF_000245415.1,2/2/12,University of Exeter,missing,bacterial canker of kiwi fruit,Pseudomonas syringae pv. actinidiae CFBP 7286 (g-proteobacteria),syringae,actinidiae,CFBP-7286,ASM24541v1,OK,2,1,1,11,1,1,3,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,FALSE,GCF_000245475.1,2/2/12,University of Exeter,missing,bacterial canker of kiwi fruit,Pseudomonas syringae pv. actinidiae CH2010-6 (g-proteobacteria),syringae,actinidiae,CH2010-6,ASM24547v1,OK,2,1,1,11,1,1,3,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,FALSE,GCF_000251185.1,3/13/12,University of Exeter,Madagascar: Antsirabe,sheath brown rot lesion on the rice type IRRI Elite,Pseudomonas fuscovaginae UPB0736 (g-proteobacteria),fuscovaginae,missing,UPB0736,ASM25118v1,OK,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,4,3,1,0,0,0,0,1,0,0,4,0,0,0,0,2,0,1,2,2,0,1,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,FALSE,GCF_000307715.1,10/22/12,University of Applied Science of Western Switzerland//Geneva,Switzerland,infected Rhododendron sp. leaf,Pseudomonas viridiflava UASWS0038 (g-proteobacteria),viridiflava,missing,UASWS0038,PseVir1.0,OK,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,8,0,1,1,2,1,1,1,1,0,0,2,0,1,5,0,0,1,0,3,1,2,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,FALSE,GCF_000331385.1,1/18/13,"Institute of Plant Biology, University of Zurich",missing,leaf,Pseudomonas syringae pv. syringae B64 (g-proteobacteria),syringae,syringae,B64,PSSB64v1.0,OK,1,0,1,10,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,15,6,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,FALSE,GCF_000333995.1,1/29/13,CSIRO,"Australia:Warwick, QLD",barley,Pseudomonas syringae BRIP39023 (g-proteobacteria),syringae,missing,BRIP39023,BRIP39023v2.0,Inconclusive,1,0,1,12,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,1,13,7,1,1,1,1,2,1,1,1,1,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,FALSE,GCF_000334035.1,1/29/13,CSIRO,"Australia: Warwick, QLD",missing,Pseudomonas syringae BRIP34876 (g-proteobacteria),syringae,missing,BRIP34876,34876_v2.0,OK,4,0,1,12,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,14,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,FALSE,GCF_000334055.1,1/29/13,CSIRO,"Australia: Warwick, QLD",missing,Pseudomonas syringae BRIP34881 (g-proteobacteria),syringae,missing,BRIP34881,34881_v2.0,OK,4,0,1,12,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,14,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,FALSE,GCF_000342185.1,2/27/13,University of Otago,Italy: Rome,missing,Pseudomonas syringae pv. actinidiae ICMP 18744 (g-proteobacteria),syringae,actinidiae,ICMP-18744,ICMP18744PSA1.0,OK,2,1,1,11,0,0,3,1,1,1,1,0,0,0,1,0,0,1,0,1,1,2,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,FALSE,GCF_000344335.2,2/7/17,New Zealand Genomics Limited,Japan,missing,Pseudomonas syringae pv. actinidiae ICMP 9853 (g-proteobacteria),syringae,actinidiae,ICMP-9853,ASM34433v2,OK,1,1,1,11,1,0,3,1,1,1,0,2,1,0,1,0,0,1,0,1,1,5,1,1,1,1,14,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,3,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
25,FALSE,GCF_000344355.2,8/23/16,New Zealand Genomics Limited,New Zealand,missing,Pseudomonas syringae pv. actinidiae ICMP 18708 (g-proteobacteria),syringae,actinidiae,ICMP-18708,ASM34435v2,OK,2,1,1,11,0,1,3,1,1,1,1,1,0,0,1,0,0,1,0,1,1,2,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,FALSE,GCF_000344375.1,3/5/13,University of Otago,New Zealand,missing,Pseudomonas syringae pv. actinidiae ICMP 18800 (g-proteobacteria),syringae,actinidiae,ICMP-18800,ICMP18800PSA1.0,OK,2,1,1,11,0,1,3,1,1,1,1,1,0,0,1,0,0,1,0,1,1,2,0,1,1,1,15,6,1,1,0,2,2,1,1,1,0,1,2,1,1,5,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,1,1,1,3,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
